id,year,league,teamID,parkID,spanFirst,spanLast,games,openings,attendance,createdAt,updatedAt
1,1871,NA,BS1,BOS01,1871-05-16,1871-10-07,16,16,32600,,
2,1871,NA,BS1,NYC01,1871-05-27,1871-05-27,1,1,3000,,
3,1871,NA,CH1,CHI01,1871-05-08,1871-09-29,16,15,85500,,
4,1871,NA,CH1,NYC01,1871-10-30,1871-10-30,1,1,600,,
5,1871,NA,CL1,CIN01,1871-05-13,1871-07-22,2,2,2200,,
6,1871,NA,CL1,CLE01,1871-05-11,1871-09-27,11,6,9500,,
7,1871,NA,FW1,FOR01,1871-05-04,1871-08-29,9,4,2350,,
8,1871,NA,NY2,NYC01,1871-05-25,1871-09-22,19,18,42050,,
9,1871,NA,PH1,PHI01,1871-06-03,1871-10-18,14,14,52000,,
10,1871,NA,RC1,CHI01,1871-08-08,1871-08-08,1,1,1000,,
11,1871,NA,RC1,RCK01,1871-05-06,1871-08-03,6,5,5200,,
12,1871,NA,TRO,TRO01,1871-05-09,1871-10-23,17,10,14050,,
13,1871,NA,WS3,BAL01,1871-07-08,1871-07-08,1,1,1000,,
14,1871,NA,WS3,CIN01,1871-07-04,1871-07-04,1,1,5500,,
15,1871,NA,WS3,NYC01,1871-07-28,1871-07-28,1,1,1500,,
16,1871,NA,WS3,WAS01,1871-05-05,1871-08-26,11,8,15950,,
17,1872,NA,BL1,BAL02,1872-04-22,1872-10-17,29,19,23100,,
18,1872,NA,BR1,NYC01,1872-05-07,1872-10-22,14,8,3400,,
19,1872,NA,BR2,NYC02,1872-05-06,1872-10-31,18,14,8350,,
20,1872,NA,BS1,BOS01,1872-05-11,1872-10-05,21,21,38400,,
21,1872,NA,CL1,CHI02,1872-05-29,1872-05-30,2,2,5000,,
22,1872,NA,CL1,CLE01,1872-06-01,1872-08-19,5,2,1500,,
23,1872,NA,MID,HRT02,1872-06-21,1872-08-09,3,1,600,,
24,1872,NA,MID,MID01,1872-05-02,1872-07-27,7,1,500,,
25,1872,NA,MID,SPR01,1872-07-23,1872-07-23,1,1,1200,,
26,1872,NA,NY2,NYC01,1872-04-29,1872-10-30,29,28,46750,,
27,1872,NA,PH1,PHI01,1872-05-01,1872-10-07,28,28,66500,,
28,1872,NA,TRO,CHI02,1872-06-17,1872-07-04,4,4,13100,,
29,1872,NA,TRO,TRO01,1872-04-26,1872-06-06,8,7,9500,,
30,1872,NA,WS3,WAS01,1872-04-18,1872-05-24,7,2,700,,
31,1872,NA,WS4,WAS02,1872-04-20,1872-05-25,7,2,450,,
32,1873,NA,BL1,BAL02,1873-04-21,1873-10-21,27,0,0,,
33,1873,NA,BL4,BAL02,1873-04-14,1873-04-14,1,0,0,,
34,1873,NA,BR2,NYC01,1873-05-07,1873-11-01,29,0,0,,
35,1873,NA,BS1,BOS01,1873-04-23,1873-10-13,28,0,0,,
36,1873,NA,BS1,CHI02,1873-08-16,1873-08-16,1,0,0,,
37,1873,NA,BS1,SPR01,1873-07-16,1873-07-16,1,0,0,,
38,1873,NA,ELI,NYC01,1873-06-12,1873-06-12,1,0,0,,
39,1873,NA,ELI,WAV01,1873-04-28,1873-07-23,7,0,0,,
40,1873,NA,NY2,NYC01,1873-05-05,1873-10-21,31,0,0,,
